tv	tele,television,tv,video,テレビ,映像
faucets	faucets,蛇口
fault	fault,故障
faux	faux,偽物
favor	favor,好意
favors	favors,好意
fax	fax,ファックス
fc	fc
fddi	fddi
feathers	feathers,羽
feedback	feedback,フィードバック
feeder	feeder,フィーダー
feeding	feeding,餌やり
feeler	feeler,触手
feet	feet,足
felting	felting,フェルト化
felts	felts,フェルト
female	female,女性
feminine	feminine,フェミニンな
fence	fence,フェンス
fences	fences,フェンス
fenugreek	fenugreek,フェヌグリーク
fermentation	fermentation,発酵
fermenters	fermenters,発酵槽
ferrites	ferrites,フェライト
ferrule	ferrule,フェルール
fertility	fertility,生殖能力
fertilizers	fertilizers,肥料
feta	feta,フェタチーズ
fetal	fetal,胎児
fettuccine	fettuccine,フェットチーネ
fever	fever,発熱
fi	fi,フィ
fiber	fiber,繊維
fiberboard	fiberboard,繊維板
fiberglass	fiberglass,グラスファイバー
fibers	fibers,繊維
fifes	fifes,ファイズ
fifo	fifo
figurine	figurine,置物
filament	filament,フィラメント
filbert	filbert,ヘーゼルベルト
file	file,ファイル
filemaker	filemaker,ファイルメーカー
filing	filing,ファイリング
fill	fill,埋める
filled	filled,満たされた
filler	filler,フィラー
fillers	fillers,フィラー
fillet	fillet,フィレ
filling	filling,詰め物
fillings	fillings,詰め物
films	films,映画
filtering	filtering,フィルタリング
financial	financial,金融
finder	finder,ファインダー
findings	findings,所見
fingerlings	fingerlings,幼魚
finials	finials,フィニアル
finish	finish,仕上げる
finishes	finishes,終わります
finless	finless,フィンレス
fire	fire,火
fireplace	fireplace,暖炉
fireplaces	fireplaces,暖炉
firestarters	firestarters,着火剤
firewalls	firewalls,ファイアウォール
firewire	firewire,ファイアワイヤー
firewood	firewood,薪
fit	fit,フィットする
fitted	fitted,フィットした
fitting	fitting,フィッティング
fittings	fittings,継手
five	five,5
fixatives	fixatives,固定剤
fixture	fixture,治具
fixturing	fixturing,固定具
fizzy	fizzy,シュワシュワした
fladder	fladder,膀胱
flagpole	flagpole,旗竿
flake	flake,フレーク状
flaked	flaked,剥げた
flakes	flakes,フレーク
flame	flame,炎
flameless	flameless,炎のない
flange	flange,フランジ
flanged	flanged,フランジ付き
flanger	flanger,フランジャー
flap	flap,フラップ
flappers	flappers,フラッパー
flared	flared,フレアした
flashing	flashing,点滅する
flashlights	flashlights,懐中電灯
flasks	flasks,フラスコ
flat	flat,平らな
flatbed	flatbed,平台
flatbread	flatbread,フラットブレッド
flatcars	flatcars,フラットカー
flavonoids	flavonoids,フラボノイド
flavored	flavored,風味のある
flavoring	flavoring,風味付け
flavorings	flavorings,香料
flavorizer	flavorizer,香味料
flaw	flaw,欠陥
flax	flax,亜麻
flaxseed	flaxseed,亜麻仁
fleece	fleece,フリース
fleur	fleur,フルール
flex	flex,フレックス
flexure	flexure,たわみ
flight	flight,フライト
flints	flints,フリント
flip	flip,フリップ
floating	floating,浮いている
floggers	floggers,鞭打ち者
flood	flood,洪水
floorstanding	floorstanding,床置き型
floppy	floppy,フロッピー
flops	flops,フロップ
flora	flora,植物
floral	floral,花柄
floss	floss,フロス
flossers	flossers,フロス
flotation	flotation,浮力
flounder	flounder,ヒラメ
flour	flour,小麦粉
flours	flours,小麦粉
flow	flow,流れ
flowable	flowable,流動性のある
flowmeters	flowmeters,流量計
flu	flu,インフルエンザ
fluid	fluid,流体
fluids	fluids,液体
fluoride	fluoride,フッ化物
fluorinated	fluorinated,フッ素化された
fluorometers	fluorometers,蛍光光度計
fluorophores	fluorophores,蛍光色素
fluoroscopes	fluoroscopes,透視装置
flush	flush,フラッシュ
flushers	flushers,フラッシャー
fluted	fluted,溝付き
flux	flux,フラックス
fm	fm
foams	foams,泡
focaccia	focaccia,フォカッチャ
foggers	foggers,噴霧器
fold	fold,折ります
folder	folder,フォルダ
folic	folic,葉酸
folin	folin,フォリン
follow	follow,フォローする
fondant	fondant,フォンダン
fonts	fonts,フォント
foosball	foosball,フーズボール
footbags	footbags,フットバッグ
footboards	footboards,フットボード
footies	footies,フッティー
footprint	footprint,フットプリント
footprints	footprints,足跡
footrests	footrests,フットレスト
force	force,力
forceps	forceps,鉗子
foreign	foreign,外国人
forklift	forklift,フォークリフト
forklifts	forklifts,フォークリフト
form	form,フォーム
format	format,フォーマット
formed	formed,形成された
forming	forming,形成する
forms	forms,フォーム
forstner	forstner,フォルスナー
forwards	forwards,前へ
fossils	fossils,化石
foundations	foundations,基礎
fountains	fountains,噴水
four	four,4
fpga	fpga
fracture	fracture,骨折
fragrance	fragrance,香り
fragrant	fragrant,香り高い
fram	fram,フレーム
framed	framed,額装された
framing	framing,フレーミング
franks	franks,フランクス
free	free,無料
freeride	freeride,フリーライド
freestanding	freestanding,自立型
freewheels	freewheels,フリーホイール
freeze	freeze,フリーズする
freezer	freezer,冷凍庫
freezers	freezers,冷凍庫
freight	freight,貨物
frequency	frequency,周波数
frets	frets,フレット
fretted	fretted,傷ついた
friction	friction,摩擦
fried	fried,揚げた
friedrich	friedrich,フリードリヒ
fries	fries,フライドポテト
fringe	fringe,フリンジ
fritter	fritter,フリッター
frogs	frogs,カエル
front	front,フロント
frosters	frosters,フロスター
frosting	frosting,つや消し
frothers	frothers,泡立て者
frothing	frothing,泡立てる
fructose	fructose,フルクトース
fryer	fryer,フライヤー
fryers	fryers,フライヤー
fuel	fuel,燃料
fuels	fuels,燃料
fuji	fuji,富士
full	full,いっぱい
fully	fully,完全に
fume	fume,ヒューム
function	function,機能
fungo	fungo,ファンゴ
fungus	fungus,真菌
funnels	funnels,じょうご
fur	fur,毛皮
furnace	furnace,炉
furnaces	furnaces,炉
fuse	fuse,ヒューズ
fuselages	fuselages,胴体
fuses	fuses,ヒューズ
fusible	fusible,可融性
fusilli	fusilli,フジッリ
futon	futon,布団
futons	futons,布団
futsal	futsal,フットサル
gable	gable,切妻
gadget	gadget,ガジェット
gaffer	gaffer,ガファー
gage	gage,ゲージ
gages	gages,ゲージ
gain	gain,ゲイン
gainers	gainers,利得者
gala	gala,ガラ
gallo	gallo,ガロ
gambrels	gambrels,ギャンブラー
gamecube	gamecube,ゲームキューブ
gamepads	gamepads,ゲームパッド
gantry	gantry,ガントリー
gaps	gaps,ギャップ
garage	garage,ガレージ
garam	garam,ガラム
garbage	garbage,ゴミ
garbanzo	garbanzo,ひよこ
garcinia	garcinia,ガルシニア
gardens	gardens,庭園
garlands	garlands,花輪
garlic	garlic,ニンニク
garment	garment,衣服
garments	garments,衣服
garnishing	garnishing,飾り付け
garter	garter,ガーター
garters	garters,ガーター
gas	gas,ガス
gasket	gasket,ガスケット
gaskets	gaskets,ガスケット
gate	gate,ゲート
gauze	gauze,ガーゼ
gavels	gavels,小槌
gazebos	gazebos,ガゼボ
gazing	gazing,見つめる
gc	gc
gearboxes	gearboxes,ギアボックス
gearheads	gearheads,ギアヘッド
gears	gears,歯車
geiger	geiger,ガイガー
gel	gel,ジェル
gelatin	gelatin,ゼラチン
gelatins	gelatins,ゼラチン
gelato	gelato,ジェラート
gels	gels,ゲル
gems	gems,宝石
gender	gender,性別
genealogy	genealogy,系図
generator	generator,発電機
genetic	genetic,遺伝的
genomic	genomic,ゲノム
geometry	geometry,幾何学
germ	germ,細菌
german	german,ドイツ人
germination	germination,発芽
gessoboard	gessoboard,ジェッソボード
ghee	ghee,ギー
ghillie	ghillie,ギリー
giloy	giloy,ギロイ
gimbals	gimbals,ジンバル
ginkgo	ginkgo,イチョウ
ginseng	ginseng,高麗人参
girdles	girdles,ガードル
girl	girl,女の子
giveaway	giveaway,プレゼント
glaces	glaces,メガネ
gladiator	gladiator,剣闘士
glandular	glandular,腺状の
glare	glare,まぶしさ
glass	glass,ガラス
glassware	glassware,ガラス製品
glazes	glazes,釉薬
glider	glider,グライダー
gliders	gliders,グライダー
glides	glides,滑る
glitter	glitter,キラキラ
globe	globe,地球儀
glockenspiel	glockenspiel,グロッケンシュピール
glow	glow,輝き
glucosamine	glucosamine,グルコサミン
glucose	glucose,ブドウ糖
glues	glues,接着剤
glutamine	glutamine,グルタミン
glycoproteins	glycoproteins,糖タンパク質
gnocchi	gnocchi,ニョッキ
go	go,行きます
goalie	goalie,ゴールキーパー
goblets	goblets,ゴブレット
gobos	gobos,ゴボ
goji	goji,ゴジ
gold	gold,ゴールド
golden	golden,黄金の
goldenseal	goldenseal,ゴールデンシール
gondola	gondola,ゴンドラ
gondolas	gondolas,ゴンドラ
gong	gong,ゴング
gooseberries	gooseberries,グーズベリー
gotu	gotu,ゴツ
gouda	gouda,ゴーダ
gouges	gouges,ガウジ
gourds	gourds,ひょうたん
governors	governors,知事
gown	gown,ガウン
gowns	gowns,ガウン
gpc	gpc
grab	grab,掴む
grabbers	grabbers,グラバー
grade	grade,グレード
graded	graded,段階的
graduated	graduated,卒業した
graduation	graduation,卒業
graffs	graffs,グラフ
graham	graham,グラハム
grain	grain,穀物
grains	grains,穀物
granary	granary,穀倉
grandfather	grandfather,祖父
granny	granny,おばあちゃん
granulated	granulated,粒状の
granules	granules,顆粒
grapefruit	grapefruit,グレープフルーツ
grapeseed	grapeseed,グレープシード
graph	graph,グラフ
graphics	graphics,グラフィックス
graphing	graphing,グラフ化
graphite	graphite,グラファイト
graspers	graspers,グラスパー
grasses	grasses,草
grate	grate,格子
graten	graten,グラテン
graters	graters,おろし金
grates	grates,すのこ
gratin	gratin,グラタン
gravel	gravel,砂利
gravies	gravies,グレービーソース
gravlax	gravlax,グラブラックス
gravy	gravy,グレービーソース
greek	greek,ギリシャ語
greenery	greenery,緑
greenhouse	greenhouse,温室
greenhouses	greenhouses,温室
greens	greens,緑
greeting	greeting,挨拶
grey	grey,グレー
grid	grid,グリッド
grids	grids,グリッド
gridwall	gridwall,グリッドウォール
grilles	grilles,グリル
grilling	grilling,グリルする
grind	grind,粉砕する
grinder	grinder,グラインダー
grinding	grinding,研削
groin	groin,股間
groomers	groomers,グルーマー
groove	groove,溝
grooved	grooved,溝付き
grooving	grooving,溝入れ
grounding	grounding,接地
grounds	grounds,根拠
grout	grout,グラウト
grow	grow,成長する
growing	growing,成長している
growlers	growlers,うなり声を上げる人
growth	growth,成長
gruy	gruy,汚れた
guacamole	guacamole,ワカモレ
guar	guar,グアー
guard	guard,ガード
guavas	guavas,グアバ
guest	guest,ゲスト
guestbooks	guestbooks,ゲストブック
guggulu	guggulu,ググル
guide	guide,ガイド
guiders	guiders,指導者
guillotine	guillotine,ギロチン
guiros	guiros,ギロ
gulab	gulab,グラブ
gum	gum,ガム
gummy	gummy,グミ
gums	gums,歯茎
gunsmithing	gunsmithing,銃器鍛冶
gutters	gutters,側溝
guzhengs	guzhengs,古正
gymnema	gymnema,ギムネマ
gypsum	gypsum,石膏
gyroscopes	gyroscopes,ジャイロスコープ
gyutou	gyutou,牛刀
habanero	habanero,ハバネロ
habitat	habitat,生息地
hacksaw	hacksaw,弓のこ
haddock	haddock,ハドック
hairball	hairball,毛玉
hairnets	hairnets,ヘアネット
hake	hake,メルルーサ
half	half,半分
halibut	halibut,オヒョウ
hall	hall,ホール
halogen	halogen,ハロゲン
halter	halter,ホルターネック
halva	halva,ハルヴァ
hammer	hammer,ハンマー
hammering	hammering,ハンマーで叩く
hammock	hammock,ハンモック
hammocks	hammocks,ハンモック
hanboks	hanboks,韓服
handballs	handballs,ハンドボール
handgrips	handgrips,ハンドグリップ
handgun	handgun,ハンドガン
handhelds	handhelds,ハンドヘルド
handle	handle,ハンドル
handlebars	handlebars,ハンドルバー
handled	handled,処理された
handles	handles,ハンドル
handlesets	handlesets,ハンドルセット
handpiece	handpiece,ハンドピース
handpieces	handpieces,ハンドピース
handrails	handrails,手すり
handsets	handsets,ハンドセット
handwriting	handwriting,手書き
hanging	hanging,ぶら下がっている
hanukkah	hanukkah,ハヌカ
hardboard	hardboard,ハードボード
hardcover	hardcover,ハードカバー
hardness	hardness,硬さ
hardscaping	hardscaping,ハードスケーピング
hardwood	hardwood,広葉樹
haritaki	haritaki,はりたき
harmonicas	harmonicas,ハーモニカ
harp	harp,ハープ
harps	harps,ハープ
harvestors	harvestors,収穫者
hash	hash,ハッシュ
hashbrown	hashbrown,ハッシュブラウン
hasps	hasps,掛け金
havarti	havarti,ハバティ
hawthorn	hawthorn,サンザシ
hazardous	hazardous,危険な
hazelnut	hazelnut,ヘーゼルナッツ
hazelnuts	hazelnuts,ヘーゼルナッツ
hdd	hdd
hdmi	hdmi
headboards	headboards,ヘッドボード
headcollars	headcollars,ヘッドカラー
headguards	headguards,ヘッドガード
headlamp	headlamp,ヘッドランプ
headphone	headphone,ヘッドフォン
headrest	headrest,ヘッドレスト
headset	headset,ヘッドセット
headstalls	headstalls,ヘッドストール
healing	healing,癒し
healthy	healthy,健康な
hearing	hearing,聴覚
heart	heart,心
heater	heater,ヒーター
heatsinks	heatsinks,ヒートシンク
hedge	hedge,生け垣
hedgehog	hedgehog,ハリネズミ
hedges	hedges,生垣
heel	heel,かかと
heeled	heeled,かかとのある
height	height,高さ
heirloom	heirloom,家宝
helical	helical,らせん状の
helicopter	helicopter,ヘリコプター
hellendahl	hellendahl,ヘレンダール
hem	hem,裾
hemorrhoid	hemorrhoid,痔
hemostatic	hemostatic,止血
hemostats	hemostats,止血剤
hemp	hemp,麻
hen	hen,鶏
henleys	henleys,ヘンリー
hepa	hepa,ヘパ
herb	herb,ハーブ
herbals	herbals,ハーブ
herbed	herbed,ハーブ
herring	herring,ニシン
herringbone	herringbone,ヘリンボーン
hex	hex,16進数
hid	hid,隠した
hidden	hidden,隠された
hideouts	hideouts,隠れ家
highball	highball,ハイボール
highland	highland,高地
highlighter	highlighter,ハイライター
highlighters	highlighters,蛍光ペン
highliner	highliner,ハイライナー
hijabs	hijabs,ヒジャブ
hilic	hilic,ヒリック
himalayan	himalayan,ヒマラヤ
hipsters	hipsters,流行に敏感な
history	history,歴史
hiv	hiv,HIV感染症
hive	hive,ハイブ
hobbing	hobbing,ホブ切り
hobo	hobo,ホーボー
hoes	hoes,くわ
hold	hold,ホールド
holdbacks	holdbacks,遠慮
holding	holding,保持している
holds	holds,保持します
hole	hole,穴
holiday	holiday,休日
hollandaise	hollandaise,オランデーズ
hollow	hollow,中空
holy	holy,神聖な
homeopathic	homeopathic,ホメオパシー
homogenizer	homogenizer,ホモジナイザー
homogenizers	homogenizers,ホモジナイザー
hones	hones,ホーン
honey	honey,蜂蜜
honeycrisp	honeycrisp,ハニークリスプ
honeydew	honeydew,甘露
honing	honing,ホーニング
hood	hood,フード
hoods	hoods,フード
hoof	hoof,蹄
hookahs	hookahs,水ギセル
hoops	hoops,フープ
hops	hops,ホップ
horizontal	horizontal,水平
hormones	hormones,ホルモン
horny	horny,角質の
hors	hors,馬
horse	horse,馬
horseradish	horseradish,わさび
horseshoe	horseshoe,蹄鉄
horseshoes	horseshoes,蹄鉄
hose	hose,ホース
hoses	hoses,ホース
hosiery	hosiery,靴下
hosting	hosting,ホスティング
hotel	hotel,ホテル
hotels	hotels,ホテル
hour	hour,時間
housebreaking	housebreaking,住居侵入
housekeeping	housekeeping,ハウスキーピング
housings	housings,ハウジング
htp	htp,http
hub	hub,ハブ
huckleberries	huckleberries,ハックルベリー
huipiles	huipiles,ウイピレス
hulls	hulls,船体
human	human,人間
humidifier	humidifier,加湿器
humidifiers	humidifiers,加湿器
humidity	humidity,湿度
humidors	humidors,ヒュミドール
hummingbird	hummingbird,ハチドリ
hummus	hummus,フムス
hung	hung,ハングアップ
hurdles	hurdles,ハードル
hurricane	hurricane,ハリケーン
hutch	hutch,ハッチ
hutches	hutches,ハッチ
hvac	hvac,空調設備
hyaluronic	hyaluronic,ヒアルロン酸
hybridization	hybridization,ハイブリダイゼーション
hydrangeas	hydrangeas,アジサイ
hydraulic	hydraulic,油圧
hydrometers	hydrometers,比重計
hydroponics	hydroponics,水耕栽培
hydrosols	hydrosols,ヒドロゾル
hygiene	hygiene,衛生
hygro	hygro,湿気のある
hygrometers	hygrometers,湿度計
hygrostats	hygrostats,湿度調整装置
hypodermic	hypodermic,皮下注射
hypoid	hypoid,ハイポイド
iaido	iaido,居合道
ibuprofen	ibuprofen,イブプロフェン
ic	ic
iceberg	iceberg,氷山
iced	iced,アイスした
icelandic	icelandic,アイスランド語
icer	icer,氷
icers	icers,氷
icing	icing,アイシング
icings	icings,アイシング
icp	icp
idc	idc
identification	identification,識別
identity	identity,アイデンティティ
idler	idler,怠け者
idlers	idlers,怠け者
igbt	igbt
igniters	igniters,点火剤
ignitors	ignitors,点火装置
illuminators	illuminators,照明器
illustration	illustration,イラスト
imagers	imagers,イメージャー
imaging	imaging,イメージング
imitation	imitation,模倣
immersion	immersion,浸漬
immobilizers	immobilizers,イモビライザー
impactors	impactors,インパクター
impairment	impairment,障害
implant	implant,インプラント
implanted	implanted,埋め込まれた
implants	implants,インプラント
inboard	inboard,船内
incandescent	incandescent,白熱灯
incense	incense,お香
incentives	incentives,インセンティブ
incontinence	incontinence,失禁
incubator	incubator,保育器
incubators	incubators,保育器
index	index,インデックス
indexable	indexable,インデックス可能
indexes	indexes,インデックス
indian	indian,インド人
indicating	indicating,示す
indicator	indicator,インジケーター
individual	individual,個人的な
inductive	inductive,誘導的な
inductors	inductors,インダクタ
infant	infant,幼児
infielder	infielder,内野手
inflatable	inflatable,インフレータブル
inflating	inflating,膨張する
inflators	inflators,インフレータ
infrared	infrared,赤外線
infusion	infusion,点滴
ingredient	ingredient,成分
ingredients	ingredients,成分
inhalers	inhalers,吸入器
inhibitors	inhibitors,阻害剤
injection	injection,注射
injectors	injectors,インジェクター
ink	ink,インク
inkjet	inkjet,インクジェット
inks	inks,インク
inlay	inlay,インレイ
inlet	inlet,入口
inner	inner,内側
inorganic	inorganic,無機的な
inositol	inositol,イノシトール
input	input,入力
insect	insect,昆虫
inserted	inserted,挿入された
inserters	inserters,インサータ
insertion	insertion,挿入
inserts	inserts,インサート
inside	inside,内側
insoles	insoles,インソール
inspection	inspection,検査
installation	installation,インストール
installer	installer,インストーラー
instant	instant,インスタント
instrumentation	instrumentation,計器類
insulated	insulated,絶縁された
insulation	insulation,絶縁体
insulators	insulators,絶縁体
insulin	insulin,インスリン
insurance	insurance,保険
integrated	integrated,統合された
intellivision	intellivision,インテリビジョン
intensity	intensity,強度
interchangeable	interchangeable,交換可能
intercoms	intercoms,インターホン
interconnect	interconnect,相互接続
interdental	interdental,歯間
interface	interface,インターフェース
interfacing	interfacing,インターフェイス
interference	interference,干渉
interior	interior,インテリア
interlocking	interlocking,連動する
internal	internal,内部
international	international,国際的な
internet	internet,インターネット
interoffice	interoffice,インターオフィス
interrupter	interrupter,遮断器
interrupters	interrupters,遮断器
intimates	intimates,内通者
intolerance	intolerance,不寛容
intracorneal	intracorneal,角膜内
intraoral	intraoral,口腔内
introduction	introduction,はじめに
inventory	inventory,在庫
inversion	inversion,反転
inverter	inverter,インバータ
inverters	inverters,インバータ
investment	investment,投資
invitations	invitations,招待状
invoice	invoice,請求書
involute	involute,インボリュート
io	io,イオ
iodine	iodine,ヨウ素
ion	ion,イオン
ionizers	ionizers,イオナイザー
ipga	ipga,イプガ
iq	iq
ir	ir,赤外線
irises	irises,アイリス
irish	irish,アイルランド人
iron	iron,鉄
ironing	ironing,アイロンがけ
irrigation	irrigation,灌漑
irrigator	irrigator,洗浄器
irrigators	irrigators,灌漑器
island	island,島
islands	islands,島々
isoflavones	isoflavones,イソフラボン
isolators	isolators,アイソレーター
isotype	isotype,アイソタイプ
italian	italian,イタリア語
itch	itch,かゆみ
itching	itching,かゆみ
item	item,アイテム
items	items,アイテム
iv	iv
ivy	ivy,アイビー
jack	jack,ジャック
jacket	jacket,ジャケット
jackfruit	jackfruit,パラミツ
jaggery	jaggery,ジャガリー
jags	jags,ギザギザ
jaguar	jaguar,ジャガー
jalapenos	jalapenos,ハラペーニョ
jam	jam,ジャム
jamb	jamb,側枠
jambalaya	jambalaya,ジャンバラヤ
jammers	jammers,ジャマー
jams	jams,ジャム
jane	jane,ジェーン
janitor	janitor,管理人
japanese	japanese,日本人
jar	jar,瓶
jarred	jarred,ぎくしゃくした
jasmine	jasmine,ジャスミン
javelin	javelin,やり投げ
javelins	javelins,やり投げ
jazz	jazz,ジャズ
jellies	jellies,ゼリー
jelly	jelly,ゼリー
jets	jets,ジェット機
jewel	jewel,宝石
jfet	jfet,ジェイフェット
jib	jib,ジブ
jicama	jicama,ヒカマ
jig	jig,ジグ
jiggers	jiggers,ジガー
jigs	jigs,治具
jingle	jingle,ジングル
job	job,仕事
jobber	jobber,ジョバー
jock	jock,冗談
joe	joe,ジョー
jogging	jogging,ジョギング
john	john,ジョン
joiner	joiner,建具屋
joiners	joiners,ジョイナー
joinery	joinery,建具
jointer	jointer,ジョインター
joints	joints,関節
jonagold	jonagold,ジョナゴールド
journals	journals,雑誌
jugs	jugs,水差し
juicer	juicer,ジューサー
juicers	juicers,ジューサー
julep	julep,ジュレップ
jumps	jumps,ジャンプする
jumpsuits	jumpsuits,ジャンプスーツ
k1	k1
kabobs	kabobs,ケバブ
kalamata	kalamata,カラマタ
kale	kale,ケール
karela	karela,カレラ
kasutera	kasutera,カステラ
kava	kava,カヴァ
kazoos	kazoos,カズー
keeper	keeper,キーパー
keepers	keepers,番人
keeping	keeping,維持する
keepsake	keepsake,記念品
keepsakes	keepsakes,記念品
keffiyeh	keffiyeh,クーフィーヤ
kefir	kefir,ケフィア
keg	keg,樽
kegerator	kegerator,ケゲレーター
kegerators	kegerators,ケゲレーター
kegging	kegging,樽詰め
kegs	kegs,樽
kemiri	kemiri,ケミリ
kenzans	kenzans,剣山
kernels	kernels,カーネル
kerosene	kerosene,灯油
ketchup	ketchup,ケチャップ
keto	keto,ケト
ketone	ketone,ケトン
ketones	ketones,ケトン
kets	kets,ケット
kettle	kettle,やかん
kettles	kettles,やかん
keycaps	keycaps,キーキャップ
keyed	keyed,鍵付き
keyless	keyless,キーレス
keypad	keypad,キーパッド
keypads	keypads,キーパッド
keyring	keyring,キーホルダー
keyseat	keyseat,キーシート
keyswitches	keyswitches,キースイッチ
kick	kick,キック
kickballs	kickballs,キックボール
kickboards	kickboards,キックボード
kiddie	kiddie,子供
kiddush	kiddush,冗談
kidney	kidney,腎臓
kidneys	kidneys,腎臓
killers	killers,殺人者
kilt	kilt,キルト
kilts	kilts,キルト
kimchi	kimchi,キムチ
kimonos	kimonos,着物
kinesiology	kinesiology,キネシオロジー
kiosks	kiosks,キオスク
kit	kit,キット
kjeldahl	kjeldahl,ケルダール
kneeboarding	kneeboarding,ニーボーディング
kneeling	kneeling,ひざまずく
kneepads	kneepads,ニーパッド
kneeskins	kneeskins,ニースキン
knickers	knickers,ニッカーズ
knit	knit,ニット
knits	knit,knits,ニット
knob	knob,ノブ
knockers	knockers,オッカー
knockout	knockout,ノックアウト
knot	knot,結び目
knotting	knotting,結び目
knurled	knurled,ローレット加工された
knurling	knurling,ローレット加工
kohlrabi	kohlrabi,コールラビ
kola	kola,コラ
kosher	kosher,コーシャ
kraft	kraft,クラフト
krill	krill,オキアミ
krypton	krypton,クリプトン
kufi	kufi,クフィ
kumquats	kumquats,キンカン
kurta	kurta,クルタ
kurtas	kurtas,クルタ
kurtis	kurtis,カーティス
kvm	kvm
label	label,ラベル
labeling	labeling,ラベル付け
labels	labels,ラベル
laboratory	laboratory,研究室
labware	labware,実験器具
labyrinth	labyrinth,迷宮
lacemaking	lacemaking,レース編み
laces	laces,ひも
lacing	lacing,ひも
lactase	lactase,ラクターゼ
lactose	lactose,乳糖
ladder	ladder,はしご
ladles	ladles,柄杓
ladoo	ladoo,ラドゥー
lady	lady,女性
lagers	lagers,ラガー
laminate	laminate,ラミネート
laminating	laminating,ラミネート加工
laminators	laminators,ラミネーター
lances	lances,ランス
lancets	lancets,ランセット
landing	landing,着陸
landline	landline,固定電話
landscaping	landscaping,造園
lane	lane,レーン
language	language,言語
languages	languages,言語
lantern	lantern,ランタン
lapping	lapping,ラッピング
laps	laps,周回
laptops	laptops,ラップトップ
lard	lard,ラード
large	large,大きい
laryngeal	laryngeal,喉頭
laryngoscopes	laryngoscopes,喉頭鏡
lasagna	lasagna,ラザニア
latch	latch,ラッチ
lateral	lateral,横方向
latex	latex,ラテックス
lathe	lathe,旋盤
lather	lather,泡立てる
lattice	lattice,格子
laundry	laundry,洗濯物
lavalier	lavalier,ラベリア
laxatives	laxatives,下剤
layers	layers,レイヤー
layouts	layouts,レイアウト
lazy	lazy,怠惰な
lc	lc
lcd	lcd,液晶
lcr	lcr
leafy	leafy,緑豊かな
leak	leak,漏れ
leathercraft	leathercraft,レザークラフト
leaveners	leaveners,発酵残渣
lecithin	lecithin,レシチン
lecterns	lecterns,演台
led	led,導かれた
lederhosen	lederhosen,レーダーホーゼン
ledger	ledger,元帳
leds	leds,LED
leeks	leeks,ネギ
legal	legal,法的な
lehenga	lehenga,レヘンガ
lemons	lemons,レモン
length	length,長さ
lentils	lentils,レンズ豆
leotards	leotards,レオタード
lesson	lesson,レッスン
letterer	letterer,レタラー
lettering	lettering,レタリング
letters	letters,手紙
lettuce	lettuce,レタス
leucine	leucine,ロイシン
level	level,レベル
levelers	levelers,レベラー
leveling	leveling,レベリング
lever	lever,レバー
levers	levers,レバー
lga	lga
lice	lice,シラミ
licenses	licenses,ライセンス
licks	licks,なめる
licorice	licorice,甘草
lid	lid,蓋
lidded	lidded,蓋付き
liebig	liebig,嘘つき
lifters	lifters,リフター
ligand	ligand,リガンド
ligases	ligases,リガーゼ
ligators	ligators,結紮器
ligature	ligature,合字
lighted	lighted,点灯した
lighter	lighter,軽い
lightning	lightning,稲妻
lightweight	lightweight,軽量
lilies	lilies,ユリ
lima	lima,リマ
limburger	limburger,リンバーガー
lime	lime,ライム
limes	limes,ライム
limestone	limestone,石灰岩
limit	limit,限界
limiters	limiters,リミッター
limiting	limiting,制限する
linchpins	linchpins,リンチピン
linear	linear,線形
linens	linens,リネン
liner	liner,ライナー
lingerie	lingerie,ランジェリー
linguine	linguine,リングイネ
liniments	liniments,リニメント剤
link	link,リンク
linkages	linkages,つながり
linking	linking,リンクする
linoleum	linoleum,リノリウム
linseed	linseed,亜麻仁
lint	lint,糸くず
lip	lip,唇
lipase	lipase,リパーゼ
lipid	lipid,脂質
lipoic	lipoic,リポ酸
liqueur	liqueur,リキュール
liquid	liquid,液体
liquids	liquids,液体
list	list,リスト
literature	literature,文学
liver	liver,肝臓
liverwurst	liverwurst,レバーヴルスト
livestock	livestock,家畜
living	living,生きている
lnbs	lnbs,ポンド
load	load,負荷をかける
loaded	loaded,ロード済み
loading	loading,読み込み中
loaf	loaf,パン
loafer	loafer,ローファー
loafers	loafers,ローファー
lobster	lobster,ロブスター
local	local,地元の
locating	locating,位置を特定する
location	location,場所
lock	lock,ロック
lockers	lockers,ロッカー
lockets	lockets,ロケット
locking	locking,ロックする
locknuts	locknuts,ロックナット
lockout	lockout,ロックアウト
locksets	locksets,ロックセット
locomotives	locomotives,機関車
log	log,ログ
logarithmic	logarithmic,対数
loggers	loggers,ロガー
logic	logic,ロジック
logs	logs,ログ
loin	loin,ロース
lok	lok,ロック
lollipops	lollipops,ロリポップ
long	long,長い
longboards	longboards,ロングボード
longeing	longeing,憧れの
loofahs	loofahs,ヘチマ
loom	loom,織機
looms	looms,織機
loop	loop,ループ
loopback	loopback,ループバック
loopers	loopers,ルーパー
loops	loops,ループ
loppers	loppers,ロッパー
loss	loss,損失
lotion	lotion,ローション
lotions	lotions,ローション
lounge	lounge,ラウンジ
lounges	lounges,ラウンジ
loupe	loupe,ルーペ
loupes	loupes,ルーペ
louver	louver,ルーバー
louvered	louvered,ルーバー付き
loveseat	loveseat,ラブシート
loveseats	loveseats,二人掛け
low	low,低い
lox	lox,ロックス
lozenges	lozenges,トローチ
ltm	ltm
